Text,Emotion
 Such as ? ,neutral
I felt angry when I saw on T.V the last slaughter of negroes in South Africa.,anger
Home from a long fun day with my girls @ college. Now it's time to get down to business &amp; start studying for my sociology test tomorrow ,joy
Apparently everyone at work but me knew it was a half day. ,surprise
"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”",fear
"For Christmas, my parents go shopping together, buy what each other want, then wrap it and put it under the tree. ?",surprise
When I found out that I could not go to the concert (after buying the tickets) because of a biology test which occurred the morning after.,sadness
"Even my father was n't too pleased about continually having to clean his porch roof , which our residents had covered in droppings and other nest debris . ",joy
"My grandmother is a highly authoritative person, who lives alone, is independent, but doesn't know to live without commanding the others. I hate this!",anger
@IAM_FET &quot;Truth Is: I find in sharing The Gospel!&quot;&lt;---- Me too :),joy
not completely play but still works,surprise
well it got dark quick... I'm glad it rained though ,joy
"I was spending my summer holidays in a village.  My friend and I were coming back from a discotheque at night and we heard a noise from an alley.  We were very scared and we got into my friend's house.  A moment later, an unknown car picked up a person from this alley.",fear
"The kids were mortified but I thought it was a real hoot . "" ",shame
"not afraid of tomorrow, for I have seen yesterday and I love today #less",fear
Strictly avoid frightening ideas ,fear
"I just want to go to the wwe tribute to the troops, then listen to the special guests nickelback  #tistheseason",joy
 But I lost the chance . ,sadness
"When a girl I wanted very much, said \yes\"" and fell in love with  me.""",joy
When I had a little accident with my boss'car.,guilt
sweet little intimate birthday party tonight. Hope you got all you wished for Jay!,surprise
@kjtob11 I don't understand! what was gonna end me?! ,fear
A time when I was very afraid of something was when I broke my father's antique lamp.,fear
"I allowed my little brother to clean the bathroom in his own way. My mother came and saw the floor overflowed with water, slapped my brother in the face and told him to go to bed immediately.",guilt
"I was rushing home from school because there was a 49er game that night. I got into a non-injury accident, which was all my fault, but destroyed the front of my car. The truck I hit was undamaged.",anger
Other people 's sorrows on the whole weigh lightly on our shoulders : a merciful provision . ,sadness
"For a moment there was a stunned silence from his workmates and then pent-up breath was released in what seemed like a communal sigh , before the chief waggoner yelled , ` Come on ! ",surprise
Overal wandelende kinderen met vuilniszakken en grote tassen in de hand. Ook ineens erg veel auto's rond de scholen.  ,surprise
"I met a girl some time ago and I cared very much about her but it happened so that we left each other. I felt some sort of sadness, I think I can call it so.",sadness
Young Pilgrim is such a fantastic piece of work. Charlie Simpson is a genius and I'm seeing him next year! ,joy
"@MelMatrix_ ohh , well I cant even go cause my mom took the car back :( CTFU",sadness
 Sure.Where would you suggest ? ,joy
Midnight. Unstarted essay plan due tomorrow for the teacher that doesn't like me. ,joy
My bus has broken down on lambton quay. ,joy
"OK donc je découvre Man va Wild. Et en plus, c'est le best of. ",fear
"Don't ask me about being a women's studies major, because i'm not going to be able to give you the answer you want ",anger
So the Aggies will be joining a division next year that currently features the Top 3 teams in the BCS standings.  ,joy
" No , what ? ",neutral
"In other fear and misery news, the mother chimp will commence her three day visit tomorrow. ",joy
Caught cheating on a diet.,shame
@VenusIsNaive c'était un tweet borderline un peu mais j'attend l'image ,surprise
is done with a task she was worrying about! and she's proud of herself!!!&  ,joy
by @Drake  is still the realist song ever made by him. Way too explicit for fakes #RS,fear
" No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . ",neutral
I didn't know its happening today. 2011 Wakepark World Cup in Al Forsan. Oh shoot! ,sadness
Finding out that the university will give first priority to qualified practioners and clinical years to go to your English lectures.,sadness
Take off the spirit of and put on the spirit of #boldness,fear
"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN",surprise
When I received my TE Score and my acceptance from University - it had been a goal since I left the bank a year earlier.,joy
Sims 3 wont load on my computer ,anger
@HealthJoinIn Why is it SO HARD to get this company to process claims? Utter &amp; complete FAIL.   ,anger
&quot;You are confirmed to test STAR WARS: The Old Republic!&quot; ,joy
I was sitting on the bus coming back from school. A man from nearly forty years sat beside me. After a while I looked at him and saw that he was looking at me with opened throusers and holding his penis.,fear
Sitting in Joann's fabric shopping only 40 people on front of us #blackfridaymaddness,joy
The 4year old barked orders to my director friend while decorating the christmas tree this evening. Biting his tongue he was. ,joy
"` They say the king 's left Welshpool with a small escort ahead of the army , "" volunteered a boy a yard or so in front of them , turning an excited face . ",joy
"Majority of men lead live of discretion to please others... is only a feeling, #havingjoy is a blessing!!",fear
I simply couldn ’ t help giving him the fish-eye when I knew all that . ,anger
 Fine . ,neutral
"#memoryhole RT @WikileaksTruck Word is the Feds have my truck. They are gonna have their hands full, folding all those blankets.",fear
" bring back Harry H, I miss you already. #crying",anger
In Colorado.. Starting the break on the right note.  #adventure,joy
 Medium . ,neutral
"Fear overwhelmed me when right against the car I was in I saw another one, as if out of control of the driver.",fear
I didn't see a single flag at half mass yesterday. ,sadness
 I don ’ t know . I didn ’ t really feel like going out . I guess I ’ m feeling a little homesick . ,sadness
My boyfriend promised to take me to see a game of tennis and rang saying he was going to the pub with some of his friends instead.,anger
“@missdanido: At the movies in the same room that I got my first kiss...   ha! I don't want to hear about those memories!,disgust
"I have officially retired Vagrant Story and Final Fantasy Tactics. Fear Effect 1 will more than likely retire tonight, as well. ",sadness
"&quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;",fear
"That moment you know is coming, but you thought it would never happen, and then it sneaks up and actually happens. & ",surprise
I can't fully express the JOY I feel when someone wholeheartedly returns my smile! &quot;A cheerful heart is good medicine&quot;- Proverbs 17:22a ,joy
Dressing up tomorrow for basketball :),joy
When I broke the window pane of my next door neighbour's house.,fear
